ElectDist,Shape_Leng,Shape_Area,coun_dist
"60078",9925.87953618000,3783971.92385999998,"42"
"60080",3169.35654105000,577950.11601899995,"42"
"60081",4441.33947127000,760878.53662200004,"42"
"60082",3752.24427004000,750851.43120999995,"42"
"60083",3738.38286542000,751052.81620600005,"42"
"60084",8016.59723194000,3481223.07225999981,"42"
"60085",12038.99813960000,7280209.50934000034,"42"
"60086",39418.96455540000,30475375.58710000291,"42"
"60087",3813.62676404000,726390.21241799998,"42"
"60088",4974.88467600000,739756.04654100002,"42"
"60089",2913.54445900000,487563.81950099999,"42"
"60090",5179.33093574000,1034632.90252999996,"42"
"60091",3870.00463285000,752543.72801800002,"42"
"23080",63844.48257070000,22484669.98200000077,"32"
"55064",2727.34745913000,453957.01354299998,"41"
"55105",1637.29297234000,147778.62069000001,"41"
"55062",6582.24065322000,1373801.81315999990,"42"
"55055",6724.55536252000,1359027.05872999993,"37"
"55061",3963.40610758000,854557.70426300005,"42"
