ElectDist,Shape_Leng,Shape_Area,coun_dist
"57027",2713.30012923000,437370.52439500001,"35"
"57028",3826.21085654000,738423.07382100006,"35"
"57029",3870.31693333000,606340.05652900005,"35"
"57030",1953.31655600000,255124.74032400001,"35"
"57031",4123.85916155000,628291.65852000006,"35"
"57032",2229.71409457000,227302.41188100001,"35"
"57033",1355.29659759000,100869.17406300000,"35"
"57034",3238.86542701000,364517.47457600001,"35"
"57035",3762.17795942000,723151.90174200002,"35"
"57036",4865.71245365000,764762.26068700000,"36"
"57037",3131.40780314000,553775.45763199998,"36"
"57038",4755.96754205000,836939.41409900005,"35"
"57039",4289.85273679000,865408.18363500002,"35"
"57040",3840.74751768000,777243.75207900000,"35"
"57041",4102.25460959000,533965.02474599995,"35"
"57042",3891.72043951000,664944.88587999996,"35"
"57043",4601.56402743000,942203.71106799995,"35"
"57044",4570.56937645000,1060158.00108000007,"35"
"57045",3411.40213021000,524507.10468500003,"35"
"57046",3257.03600598000,583831.54746899998,"35"
"57047",3242.92592701000,591450.51104400004,"35"
"57048",3228.17306717000,617695.57308500004,"35"
"57049",3727.97827104000,767850.80269200006,"35"
"57050",3149.35970152000,618946.50074900000,"35"
"57051",3371.01578860000,653608.17724200001,"36"
"57052",3132.76550042000,554629.82833799999,"36"
"57053",3130.07106970000,553563.46368799999,"36"
"57054",4401.97246297000,1012285.22051999997,"35"
"57055",4157.94892818000,1108856.43170999992,"36"
"57056",4736.34364592000,1068524.74643000006,"36"
"57057",2914.62905263000,494498.73790800001,"36"
"57058",5128.83819260000,537996.04418099998,"36"
"57059",6278.69262469000,1484517.39341000002,"35"
"57060",4684.86274406000,1011811.10482999997,"35"
"57061",5352.07960862000,1576151.82761000004,"35"
"57062",3473.40719826000,540764.39676999999,"35"
"57063",5853.43496240000,865438.35660399997,"35"
"57064",6484.50985787000,1057671.23202000000,"35"
"57065",1984.41000580000,219230.47759400000,"35"
"57066",2869.49711264000,512684.82324599999,"35"
"57067",2873.91101876000,512972.90958199999,"35"
"57068",4589.09709459000,630304.53252200002,"35"
"57069",3116.47207863000,594725.68890499999,"35"
"57070",4462.03342557000,743682.71307699999,"35"
"57071",3784.28826951000,495492.55731300003,"35"
"57072",4874.96570148000,645367.70229299995,"35"
"57073",4239.90336832000,593101.20246499998,"35"
"57074",2837.25126380000,354408.11235000001,"35"
"57075",2992.53654265000,332380.84130299999,"35"
"57076",2208.73240523000,226418.18428399999,"35"
"57077",1910.72123882000,176536.78592699999,"35"
"57078",1837.38487727000,180549.18939399999,"35"
"57079",2674.95484481000,427605.21281499998,"35"
"57080",2860.26325825000,360365.45198499999,"35"
"57081",3498.26065972000,547546.53965000005,"35"
"57082",2887.22845884000,447556.48705300002,"35"
"57083",3283.91117176000,640031.54504500004,"35"
"57084",3495.70947316000,531613.23933500005,"35"
"57085",2880.79552715000,515776.89528800000,"35"
"57086",9811.62408673000,3896089.03704999993,"35"
"57087",4223.15806967000,953011.57063099998,"35"
"57088",2214.74803698000,257491.78862000001,"35"
"57089",5493.15003064000,1046005.33285999997,"35"
"57090",2644.56187611000,207468.87884100000,"35"
"57092",4500.95380506000,788908.81152400002,"35"
"57094",2028.55505951000,189491.04765200001,"33"
"57095",3013.62314183000,555619.21137999999,"35"
