"KRONOS_BADGE_NUMBER","EMPLOYEE_ID","BOROUGH_NAME","DEPARTMENT_NAME","WORK_LOC_ID","LOCATION_NAME","NYC_TITLE"
385527,1406307,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385532,1885592,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385534,1885600,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385474,1299850,BRONX,Bronx Property Management Department,"0522",Patterson,Housing Assistant
385490,1432757,BRONX,Bronx Property Management Department,"0506",Sack Wern-Clason Point Gardens,Maintenance Worker
385499,1885601,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385491,1882862,BRONX,Bronx Property Management Department,"0535",Forest Consolidation,Maintenance Worker
385495,1883763,BRONX,Bronx Property Management Department,"0248",Adams Houses,Caretaker
385498,1884561,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385500,1884608,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385502,1884675,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385503,1651671,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385517,1131342,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385520,583477,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385523,609437,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385525,1885577,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,City Seasonal Aide
385528,1885591,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385545,1883753,MANHATTAN,Manhattan Property Management Department,"0224",Wagner Houses,Housing Assistant
385541,1883780,BROOKLYN,Brooklyn Property Management Department,"0512",Brownsville,Maintenance Worker
385542,1883711,MANHATTAN,Manhattan Property Management Department,"0451",Chelsea Addition-Elliott,Housing Assistant
385544,1015570,BRONX,Bronx Property Management Department,"0750",Claremont Rehab Consolidated,Maintenance Worker
385552,786130,BROOKLYN,Brooklyn Property Management Department,"0512",Brownsville,Housing Assistant
385553,1783096,BRONX,Bronx Property Management Department,"0537",Soundview,Housing Assistant
385554,1883159,BRONX,Bronx Property Management Department,"0385",Morrisania Consolidation,Housing Assistant
385543,1883713,BRONX,Bronx Property Management Department,"0522",Patterson,Maintenance Worker
385574,1883762,MANHATTAN,Manhattan Property Management Department,"0530",Amsterdam-Harborview Terrace,Housing Assistant
385548,1883150,MANHATTAN,Manhattan Property Management Department,"0261",Taft Houses,Housing Assistant
385573,1884365,BRONX,Bronx Property Management Department,"0239",Morris Houses,Maintenance Worker
385575,1213796,MANHATTAN,Manhattan Property Management Department,"0451",Chelsea Addition-Elliott,Caretaker
385583,1746389,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385586,1885585,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385589,1885583,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385591,1885582,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385592,1885581,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385600,1885602,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385604,1398073,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385612,1885608,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385606,1059646,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385607,1885594,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385609,1709685,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,City Seasonal Aide
385628,1782818,BROOKLYN,Brooklyn Property Management Department,"0205",Kingsborough,Caretaker
385631,1125677,MANHATTAN,Manhattan Property Management Department,"0260",Polo Grounds Towers,Maintenance Worker
385632,1880179,BROOKLYN,Brooklyn Property Management Department,"0426",Marlboro,Secretary
385635,1407665,BROOKLYN,Brooklyn Property Management Department,"0233",Tilden Houses,Housing Assistant
385636,1884496,BROOKLYN,Brooklyn Property Management Department,"0230",Red Hook West,Housing Assistant
385638,1886074,BRONX,Bronx Property Management Department,"0638",Marble Hill Houses,Maintenance Worker
385580,1885584,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385577,1883757,BRONX,Bronx Property Management Department,"0368",Sedgwick,Maintenance Worker
385579,1404693,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385581,1704260,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385582,1715461,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385584,1885588,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385585,1885589,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385588,1885586,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385590,1885590,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
